INFO 2023-08-09 03:18:54,512 autoreload Watching for file changes with StatReloader
DEBUG 2023-08-09 03:18:54,516 autoreload Waiting for apps ready_event.
DEBUG 2023-08-09 03:18:54,644 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-08-09 03:18:54,685 autoreload Watching dir C:\Users\Alice\Desktop\djangogram\templates with glob **/*.
DEBUG 2023-08-09 03:18:54,686 autoreload Watching dir C:\Users\Alice\Desktop\djangogram\locale with glob **/*.mo.
DEBUG 2023-08-09 03:18:54,687 autoreload Watching dir C:\Users\Alice\Desktop\djangogram\content\locale with glob **/*.mo.
DEBUG 2023-08-09 03:18:54,688 autoreload Watching dir C:\Users\Alice\Desktop\djangogram\user\locale with glob **/*.mo.
DEBUG 2023-08-09 03:18:54,759 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2023-08-09 03:18:54,765 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2023-08-09 03:18:55,018 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\_util.py first seen with mtime 1691124227.8667593
DEBUG 2023-08-09 03:18:55,019 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\encodings\__init__.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,020 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\_common.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,020 autoreload File C:\Users\Alice\AppData\Local\Programs\Python\Python311\Lib\posixpath.py first seen with mtime 1686085218.0
DEBUG 2023-08-09 03:18:55,021 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_concurrency_analyser\pydevd_thread_wrappers.py first seen with mtime 1691124227.9303524
DEBUG 2023-08-09 03:18:55,022 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1689162638.2137003
DEBUG 2023-08-09 03:18:55,022 autoreload File C:\Users\Alice\.vscode\extensions\ms-python.python-2023.14.0\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydev_bundle\pydev_is_thread_alive.py first seen with mtime 1691124227.883489
DEBUG 2023-08-09 03:18:55,023 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1689162640.2936072
DEBUG 2023-08-09 03:18:55,023 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\pkg_resources\_vendor\packaging\__about__.py first seen with mtime 1689162641.1448421
DEBUG 2023-08-09 03:18:55,024 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1689162638.2037268
DEBUG 2023-08-09 03:18:55,024 autoreload File C:\Users\Alice\Desktop\djangogram\.venv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1689162640.5983038
